,index,id,lat,lon,area,geometry,zone
0,1,DK1 0,55.44155131455852,9.296978057568165,DK,POINT (9.296978057568163 55.44155131455852),
1,2,DK1 1,56.94056107593271,9.957443854863357,DK,POINT (9.957443854863357 56.94056107593271),
2,3,DK1 2,55.684904200000005,10.280731,DK,POINT (10.280731 55.684904200000005),
3,4,DK2 0,55.50411890712632,12.421875775548344,DK,POINT (12.421875775548344 55.50411890712632),
4,5,DK2 1,55.550388,11.318665,DK,POINT (11.318665 55.550388),
5,6,FI2 0,60.8161276,26.6912842,FI,POINT (26.691284200000002 60.8161276),
6,7,FI2 1,66.2709794,25.3045352,FI,POINT (25.3045352 66.2709794),
7,8,FI2 10,62.708883,27.675934,FI,POINT (27.675933999999998 62.708883),
8,9,FI2 11,67.47887033333332,26.767730333333333,FI,POINT (26.767730333333333 67.47887033333332),
9,10,FI2 12,62.152786,25.456237666666667,FI,POINT (25.456237666666667 62.152786),
10,11,FI2 13,63.206080333333325,22.527465666666668,FI,POINT (22.527465666666668 63.206080333333325),
11,12,FI2 2,61.427476,24.2427065,FI,POINT (24.242706499999997 61.427476),
12,13,FI2 3,64.73394728571428,26.336975,FI,POINT (26.336975 64.73394728571428),
13,14,FI2 4,66.33089,27.029114,FI,POINT (27.029114 66.33089),
14,15,FI2 5,60.47822,25.068283166666664,FI,POINT (25.068283166666664 60.47822),
15,16,FI2 6,61.28499866666667,22.009964,FI,POINT (22.009963999999997 61.28499866666667),
16,17,FI2 7,63.82305879999999,24.8304748,FI,POINT (24.8304748 63.82305879999999),
17,18,FI2 8,60.4071488,23.7801818,FI,POINT (23.7801818 60.4071488),
18,19,FI2 9,60.894381,27.917633,FI,POINT (27.917633 60.894381),
19,23,NO2 0,63.53992983333333,10.166015666666665,NO,POINT (10.166015666666665 63.53992983333333),NO3
20,24,NO2 1,59.54601859999999,7.590591599999999,NO,POINT (7.590591599999999 59.54601859999999),NO2
21,25,NO2 10,59.93336366666667,10.504074166666667,NO,POINT (10.504074166666667 59.93336366666667),NO1
22,26,NO2 11,58.813447,6.896667666666665,NO,POINT (6.896667666666665 58.813447),NO2
23,27,NO2 12,67.44335899999999,15.803833,NO,POINT (15.803833000000001 67.44335899999999),NO4
24,28,NO2 13,60.36932575,8.541870000000003,NO,POINT (8.541870000000003 60.36932575),NO1
25,29,NO2 14,63.741159800000005,11.462585399999998,NO,POINT (11.462585399999998 63.741159800000005),NO3
26,30,NO2 15,61.84129675,6.29070300000001,NO,POINT (6.29070300000001 61.84129675),NO3
27,31,NO2 16,58.4103145,8.442306499999995,NO,POINT (8.442306499999995 58.4103145),NO2
28,32,NO2 17,59.2327725,11.2946315,NO,POINT (11.294631500000001 59.232772499999996),NO1
29,33,NO2 18,61.6800625,9.20104949999999,NO,POINT (9.20104949999999 61.6800625),NO3
30,34,NO2 19,60.998248,10.511856,NO,POINT (10.511856 60.998248000000004),NO1
31,35,NO2 2,68.158786,17.288361,NO,POINT (17.288361 68.158786),NO4
32,36,NO2 3,59.2965906,9.8168338,NO,POINT (9.816833800000001 59.2965906),NO2
33,37,NO2 4,60.89876610683372,7.131330939750877,NO,POINT (7.131330939750877 60.89876610683372),NO5
34,38,NO2 5,65.78325583333334,13.522339,NO,POINT (13.522339 65.78325583333334),NO4
35,39,NO2 6,59.19273299999999,5.873369428571424,NO,POINT (5.873369428571424 59.19273299999999),NO2
36,40,NO2 7,62.76674466666666,8.51303133333334,NO,POINT (8.51303133333334 62.76674466666666),NO3
37,41,NO2 8,60.28317626666667,5.797393733333331,NO,POINT (5.797393733333331 60.28317626666667),NO5
38,42,NO2 9,60.600397,11.224594,NO,POINT (11.224594 60.600397),NO1
39,43,SE2 0,55.77874549999999,13.174209833333336,SE,POINT (13.174209833333336 55.77874549999999),SE4
40,44,SE2 1,63.394336,16.892852750000003,SE,POINT (16.892852750000003 63.394335999999996),SE2
41,45,SE2 10,56.489904,14.884415,SE,POINT (14.884415 56.489903999999996),SE4
42,46,SE2 11,60.76299938461538,16.870352076923076,SE,POINT (16.870352076923076 60.76299938461538),SE3
43,47,SE2 12,59.337392,12.9776,SE,POINT (12.9776 59.337392),SE3
44,48,SE2 13,62.43740042857142,16.88696742857143,SE,POINT (16.88696742857143 62.43740042857142),SE2
45,49,SE2 14,59.70205253846154,18.077686,SE,POINT (18.077686 59.70205253846154),SE3
46,50,SE2 15,57.43682,16.659393,SE,POINT (16.659393 57.43682),SE3
47,51,SE2 16,62.7105985,15.9669970625,SE,POINT (15.966997062499999 62.7105985),SE2
48,52,SE2 17,60.378758,15.3032685,SE,POINT (15.303268500000001 60.378758),SE3
